states,x,y
Jammu Kashmir,-92.0,235.0
Himachal Pradesh,-86.0,189.0
Rajasthan,-162.0,96.0
Gujarat,-200.0,12.0
Maharashtra,-146.0,-51.0
Goa,-154.0,-117.0
Karnataka,-133.0,-137.0
Kerala,-116.0,-217.0
Tamilnadu,-81.0,-213.0
Andhra Pradesh,-67.0,-129.0
Telangana,-68.0,-73.0
Chhattisgarh,-22.0,-11.0
Odisha,34.0,-23.0
West Bengal,91.0,14.0
Jharkhand,40.0,31.0
Bihar,54.0,69.0
Tripura,152.0,30.0
Mizoram,173.0,18.0
Manipur,192.0,52.0
Nagaland,205.0,80.0
Assam,169.0,84.0
Arunachal Pradesh,217.0,133.0
Sikkim,98.0,105.0
Uttar Pradesh,-20.0,95.0
Delhi,-86.0,122.0
Haryana,-102.0,136.0
Uttarakhand,-47.0,152.0
Punjab,-114.0,172.0
Madhya Pradesh,-66.0,26.0
Meghalaya,139.0,64.0
